tanggal,harga_oz,kurs_oz,idr_oz,harga_gr,kurs_gr,idr_gr,update_asli
17 April 2020,"1.687,46 (-937,03)","15.503,01 (-658,99)",26.160.709,"54,25","15.503,01","841.086 (-522.652,12)","17 April 2020, pukul 23:59"
18 April 2020,"1.684,75 (-939,74)","15.503,01 (-658,99)",26.118.696,"54,17","15.503,01","839.736 (-524.002,88)","18 April 2020, pukul 23:59"
19 April 2020,"1.684,75 (-939,74)","15.503,01 (-658,99)",26.118.696,"54,17","15.503,01","839.736 (-524.002,88)","19 April 2020, pukul 23:59"
20 April 2020,"1.694,61 (-929,88)","15.543,01 (-618,99)",26.339.340,"54,48","15.543,01","846.829 (-516.909,00)","20 April 2020, pukul 23:59"
21 April 2020,"1.675,88 (-948,61)","15.643,01 (-518,99)",26.215.808,"53,88","15.643,01","842.858 (-520.880,67)","21 April 2020, pukul 23:59"
22 April 2020,"1.711,98 (-912,51)","15.567,01 (-594,99)",26.650.410,"55,04","15.567,01","856.831 (-506.907,88)","22 April 2020, pukul 23:59"
23 April 2020,"1.727,53 (-896,96)","15.630,00 (-532,00)",27.001.294,"55,54","15.630,00","868.112 (-495.626,70)","23 April 2020, pukul 23:59"
24 April 2020,"1.719,05 (-905,44)","15.553,01 (-608,99)",26.736.402,"55,27","15.553,01","859.595 (-504.143,18)","24 April 2020, pukul 23:59"
25 April 2020,"1.729,05 (-895,44)","15.553,01 (-608,99)",26.891.932,"55,59","15.553,01","864.596 (-499.142,77)","25 April 2020, pukul 23:59"
26 April 2020,"1.729,05 (-895,44)","15.553,01 (-608,99)",26.891.932,"55,59","15.553,01","864.596 (-499.142,77)","26 April 2020, pukul 23:59"
27 April 2020,"1.712,54 (-911,95)","15.591,01 (-570,99)",26.700.228,"55,06","15.591,01","858.432 (-505.306,18)","27 April 2020, pukul 23:59"
28 April 2020,"1.705,96 (-918,53)","15.488,00 (-674,00)",26.421.908,"54,85","15.488,00","849.484 (-514.254,37)","28 April 2020, pukul 23:59"
29 April 2020,"1.700,91 (-923,58)","15.415,01 (-746,99)",26.219.545,"54,69","15.415,01","842.978 (-520.760,52)","29 April 2020, pukul 23:59"
30 April 2020,"1.687,54 (-936,95)","15.157,01 (-1.004,99)",25.578.061,"54,26","15.157,01","822.354 (-541.384,71)","30 April 2020, pukul 23:59"
01 Mei 2020,"1.697,14 (-927,35)","15.157,01 (-1.004,99)",25.723.568,"54,56","15.157,01","827.032 (-536.706,54)","01 Mei 2020, pukul 23:59"
02 Mei 2020,"1.700,40 (-924,09)","15.157,01 (-1.004,99)",25.772.980,"54,67","15.157,01","828.621 (-535.117,91)","02 Mei 2020, pukul 23:59"
03 Mei 2020,"1.700,40 (-924,09)","15.157,01 (-1.004,99)",25.772.980,"54,67","15.157,01","828.621 (-535.117,91)","03 Mei 2020, pukul 23:59"
04 Mei 2020,"1.705,22 (-919,27)","15.073,01 (-1.088,99)",25.702.798,"54,82","15.073,01","826.364 (-537.374,31)","04 Mei 2020, pukul 23:59"
05 Mei 2020,"1.702,60 (-921,89)","15.104,00 (-1.058,00)",25.716.070,"54,74","15.104,00","826.791 (-536.947,59)","05 Mei 2020, pukul 23:59"
06 Mei 2020,"1.686,56 (-937,93)","15.127,01 (-1.034,99)",25.512.610,"54,22","15.127,01","820.249 (-543.489,00)","06 Mei 2020, pukul 23:59"
